iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30,omega_35
10500,1.0020966717712316,1.0047731320984574,1.0053680048145877,1.0347484285953572,1.0434680289211749,1.0084006630326843,1.0005192378135095,1.0003349401490924,1.0000310816168785,1.0000568988513017,1.0002137349986442,1.000498954733472,1.0003372518049685,1.0004737983026741,1.0002519026558687
10750,1.0018587253572284,1.0046384798127157,1.0052724209418433,1.0311652438842835,1.041780790997276,1.007551569618198,1.000432368899215,1.0002960585545944,1.0000285386954681,1.000053171441709,1.000177837889598,1.0004754620905505,1.0002783217576725,1.0004434747681281,1.000237543998939
11000,1.0018520586475586,1.0044171696754762,1.0050574392100997,1.0305532430105944,1.0362626164441713,1.007697804215534,1.000395973731489,1.0002626206548753,1.0000271141115786,1.0000419851731164,1.0001594718121407,1.000471506145163,1.000235403687211,1.0004268547053163,1.0002211531281033
11250,1.0018433586138276,1.0048651596361589,1.0054169031901876,1.0296093519309395,1.0339709733381701,1.0074201674514918,1.0004237556574593,1.0002691646433404,1.0000602974781163,1.0000815890391899,1.0001598229126711,1.0004869632475901,1.000242661961327,1.0004712196264778,1.0002152745008948
11500,1.0019007183697821,1.0047978071868435,1.0053475712091888,1.028718542186235,1.0340154409679807,1.0071052992580742,1.0004301002867655,1.0002894428533375,1.0000546825728354,1.0000775273536437,1.0001482236579156,1.0004983969006398,1.0002628581905098,1.0004935955802146,1.0002264361449131
11750,1.001783969029514,1.004809249545902,1.005469080154554,1.0290323856114298,1.034579274647419,1.007535754065587,1.0003882177545584,1.000298817924543,1.0000524114197886,1.000070466261146,1.0001561239078818,1.0004982646089955,1.00025419215507,1.0004693387746328,1.000216495318861
12000,1.0017122376939605,1.0048689908973516,1.0054872255670666,1.0269511611069224,1.035200241443435,1.006221554350177,1.0003770632812168,1.0002936835976801,1.0000456273442142,1.0000521155952138,1.0001484066456914,1.0004804534392482,1.0002516533836632,1.0004343611995226,1.000206722233708
12250,1.0017462946063025,1.004709961191286,1.005325904657201,1.0267785305285029,1.035075873112979,1.0057668874972188,1.0002594664668383,1.0002703372600954,1.0000420587998167,1.0000479161746572,1.0001358650964096,1.0004559378498334,1.000259120975165,1.0003943948604517,1.0001927977611205
12500,1.0016996758002799,1.0044615243211132,1.0051031742267575,1.0257327696100593,1.0344758172369761,1.006094448764082,1.0002069793139277,1.0002560758462975,1.0000398346625066,1.0000407436874421,1.0001053745575053,1.000434069166497,1.0002471813155274,1.0003681547942553,1.000174669828864
12750,1.0017067120963496,1.0050679615676095,1.005877413664792,1.0248313724836,1.0335339591555668,1.0071456367918594,1.0002446596438328,1.0002534399403544,1.0000558705153295,1.0000688160233835,1.0001138820166156,1.0004509254262448,1.0002378344596516,1.0003577974915443,1.0001806388067909
13000,1.001561313224307,1.0052767783551246,1.0062804904556844,1.0249096591864797,1.0327368728216106,1.007759056647184,1.000210693225799,1.0002310577325635,1.000065247744795,1.000070729649978,1.0000956393565323,1.0004529397296373,1.000218703276428,1.0003559782673277,1.0001708253260166
13250,1.0016662356876511,1.0055407244451187,1.0065563090327279,1.0269033736762885,1.0334128056824505,1.0073355635425145,1.0002192276711543,1.0002447854663743,1.0000714122908025,1.0000682660102225,1.0001197282670893,1.0004608292249892,1.0002432667366485,1.0003514711572565,1.0001911752013182
13500,1.0015799590883656,1.0054735621479542,1.0066326480891448,1.0296152247535775,1.0352163196529867,1.0081316599815089,1.000203999241168,1.000215015262425,1.0000629105806003,1.0000708223886199,1.0001223991263422,1.0004413179710734,1.0002308386612575,1.0003371178120979,1.0001800768755427
13750,1.0015871211506353,1.0054691632602055,1.0066224517388165,1.0303642598921607,1.0383831668074583,1.0085877199605207,1.0001976781685338,1.0002129138303137,1.000057949872627,1.000069108311369,1.000123970766462,1.000442497387897,1.0002383166329596,1.0003488652274772,1.0001862310421843
14000,1.0017679833927844,1.0054633691954054,1.0066362053131206,1.0299319603827444,1.0397375458818592,1.0076387152586606,1.0002052715863383,1.000222149665793,1.000056501566728,1.0000727113624304,1.0001385541723968,1.0004438486925373,1.0002629715102986,1.0003597978480587,1.0002011371892234
14250,1.0016121002498521,1.0050517336872165,1.0059764315523634,1.027820163015486,1.040446949669201,1.0068112385147783,1.00016811098057,1.000191163060401,1.0000540207089317,1.0000695831972555,1.0001027335046653,1.0004173830671108,1.0002435166768482,1.0003412130313447,1.000180007329628
14500,1.0014947455208674,1.0048200692120353,1.0056814452232512,1.0259499283695959,1.0414227280036752,1.0065212134198391,1.000176839794605,1.0001723900302262,1.0000472978418502,1.0000602017777487,1.0000883979609294,1.0003785665036247,1.0002313719420985,1.0003242593574233,1.0001510480067994
14750,1.0014522549254588,1.0046555371787802,1.0054485434692693,1.025848502500746,1.0445011832130842,1.0066036288059614,1.0001849967540768,1.0001631422951103,1.0000399334366037,1.0000565254040288,1.0000960100776148,1.0003635161495383,1.0002183822322748,1.000308497119513,1.0001568534874383
15000,1.001485074526601,1.0043488582104543,1.0051530703915958,1.0256262649630636,1.0453062388254688,1.0065688015186125,1.0001742094351354,1.000169777848182,1.000039655496697,1.000058178181341,1.0001116158598264,1.0003511001462442,1.000214229214391,1.0002943166929072,1.0001664494511713
15250,1.0015606862923963,1.0047883399785882,1.0056818708602755,1.024930405443898,1.0450168442184125,1.0062453623576235,1.0001996512530913,1.0001830084523489,1.0000337867586901,1.0000455732062925,1.0001335005606289,1.000410322687578,1.0002308266339932,1.0003375962737788,1.0001939398219006
15500,1.0015238205471964,1.0055082883698996,1.0063689185849605,1.0226506337393761,1.044452415551235,1.0056372777401807,1.000216946173242,1.000194061039312,1.0000352494510103,1.0000453745006292,1.0001427410354948,1.0004147082076589,1.0002458057987258,1.0003659613633131,1.0002231192121591
15750,1.0014062981706173,1.005112551537147,1.005905332902224,1.0204634592525388,1.0438730241445406,1.005519121566823,1.0002380188619038,1.000159258963432,1.0000449728796295,1.0000577512216895,1.000116083231191,1.000373478844421,1.0002408531806426,1.0003320609777975,1.0002023779141147
16000,1.0013660082107019,1.00526400994371,1.0059454120805427,1.018983327140876,1.0423586135748795,1.0053838690385455,1.0002316742594661,1.0001729329936913,1.0000320324589118,1.00004714364487,1.0001142693687768,1.0003619672197803,1.0002469972133758,1.000319273775539,1.0002070852049434
16250,1.0013744635437545,1.0052146493127576,1.0057991706306324,1.0178226149014442,1.0420727156885203,1.0053429725461953,1.0002149018250497,1.0001788853721738,1.0000285119022847,1.0000344871346187,1.000102426506591,1.0003633471048317,1.0002424143743671,1.000314369546347,1.0002048865797037
16500,1.00138317034984,1.005283846219497,1.0059054001731564,1.0173266401179173,1.0435679006442224,1.0051431820750207,1.0002172209388924,1.0001810157890771,1.000033240988862,1.000042532738867,1.0001117889366906,1.0003704269477345,1.000253544645982,1.0003207394750093,1.0002114481139095
16750,1.0014662814694375,1.0052379853915796,1.0058454390360065,1.016682096107281,1.046199268067469,1.0050274856868961,1.000195330817549,1.0001757925075736,1.000031914345341,1.0000458609443774,1.000122345376041,1.00037716102042,1.0002547845475713,1.0003249573835657,1.0002099002327591
17000,1.0014729175392896,1.0050157375498943,1.0055920168067534,1.0172365787032545,1.0488339518410918,1.0049042445241094,1.000208280283377,1.0001810431789953,1.0000369936319682,1.000043423739471,1.0001243386444392,1.0003654258223957,1.0002647631445658,1.0003195905192799,1.0002096082242344
17250,1.0014125553212174,1.0054519465957323,1.0062183007145655,1.0176672842911083,1.050337865979079,1.0048023080442092,1.00022452976252,1.0001778895966102,1.0000292498919796,1.0000308544165475,1.0001320172437536,1.000375977628858,1.0002754710249362,1.0003267817585124,1.0002315436573324
17500,1.0015005250586635,1.0058907352492554,1.0067055115664811,1.0181683184423767,1.051285682907443,1.0049323410055098,1.0002087091056848,1.000195766488965,1.0000344458754495,1.000035751681303,1.0001412307143318,1.000398343331154,1.0002969627535776,1.0003461108519287,1.00026422093139
17750,1.0015544148499145,1.005912180672919,1.006691809980809,1.018298966551423,1.0517683516883334,1.0052742794561398,1.0002126175418786,1.0002021859590837,1.0000291563541719,1.000029577122989,1.0001557434076584,1.0003976905837868,1.0003112219866932,1.0003525713476817,1.0002698192766768
18000,1.0015022884378235,1.0062477919499695,1.0071007905072604,1.0175297169590445,1.0519445095718927,1.0050300783267203,1.0002315252084393,1.0001995737045184,1.000024898233059,1.0000288502787247,1.0001531183772872,1.0004017726772767,1.0003149693513096,1.0003555232475172,1.0002646055687292
