iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
13500,1.0009922620708407,1.0021940712953328,1.0021427804536327,1.0181616004803145,1.015932341957133,1.0079378059815156,1.0004386711029547,1.0001052766923375,1.0000724890857169,1.0000552626775654,1.0001254396860644
13750,1.0009531147353812,1.0021390129583294,1.0020088082932714,1.0169351178689094,1.017636658415592,1.0075471548176806,1.0004308938410706,1.0001138286510924,1.000076221704288,1.0000669570698892,1.000131871857815
14000,1.0008947877741314,1.0020879909654936,1.001944345564045,1.01702412721583,1.0184449182715085,1.0070627365828841,1.0004601384457785,1.0000954506564108,1.0000797736957292,1.0000625716401716,1.0001266723682463
14250,1.001029666042351,1.002023059290474,1.0018499406053338,1.0184423589669382,1.0187277131826522,1.0066788245979426,1.0004954277896037,1.000109746369354,1.0000935423439925,1.0000722729474012,1.0001361414088643
14500,1.0010911758692111,1.0019033260445247,1.001741857194388,1.0208619789827658,1.0199530726461339,1.005936201226166,1.0005518237684687,1.0001118523108405,1.0000992284255783,1.0000755988881183,1.0001342576657335
14750,1.0010602052321336,1.0017364055827684,1.0016142116032982,1.0224130858099663,1.0218422310384863,1.0056475622860699,1.0005354738794288,1.0001143571931377,1.0000838412168942,1.0000797234035146,1.000123954541409
15000,1.0009793012417576,1.0019759487531426,1.001960027070399,1.0239739563710935,1.0223501659748548,1.005762183421356,1.000538976344802,1.0001131646390908,1.0000736323839587,1.0000723969442538,1.0001186225501908
15250,1.000983028029373,1.0017861868064166,1.0018000841030366,1.0253552596775926,1.0233542548311878,1.0062386268571049,1.0005223629930773,1.000107582947168,1.0000693683365978,1.0000710023648693,1.000114862726826
15500,1.0008509527427425,1.0018473256831981,1.0018330104875848,1.025588913228257,1.024492925977789,1.0066084939012139,1.000536363017699,1.0001047416682975,1.0000643765507227,1.000068507892202,1.0001096716550615
15750,1.0008233520951961,1.001543092581975,1.0015527653397256,1.0251935067977436,1.0249783456725403,1.0067064433948656,1.0005189893676747,1.0000999869405636,1.0000679366304521,1.0000578272285354,1.000102856394342
16000,1.0007945556788245,1.00157200498196,1.0015784368145124,1.0234754960150207,1.0242505533246422,1.0066565683811572,1.0005545661304838,1.000089681823416,1.0000603983634926,1.0000490269682836,1.000097056636915
16250,1.000836083522507,1.001190894038897,1.001285456075747,1.0207352200262827,1.0245229920583911,1.0070658215210215,1.0005827346820495,1.0000820427021926,1.0000594362097899,1.0000487861156069,1.0001079191028033
16500,1.0008226804428402,1.0012472287963388,1.0013877878478021,1.0181008912125529,1.026016836474227,1.0080288068700813,1.000517348448403,1.0000795133092737,1.000059611007513,1.0000500917451216,1.0001030082806588
16750,1.0008471247513793,1.0010585953064213,1.001205701597008,1.0158475218957956,1.0275253820635,1.0084690778994414,1.0005097967638394,1.0000799438650365,1.0000603969245137,1.00004609417888,1.0001085750085148
17000,1.0008361118427842,1.001101397960344,1.0012686141862128,1.0144766943819772,1.0287880747582117,1.0085271759047427,1.0005225085798524,1.0000758698125123,1.0000585965201874,1.0000416556295837,1.0001066438017512
17250,1.0007884898635402,1.0011489934304951,1.0013604633864486,1.0138071147258765,1.030056521028311,1.0094714462055696,1.0004887577736645,1.0000745963745934,1.0000581257667815,1.000037062638526,1.00010794526242
17500,1.0008377254042686,1.0010987739242205,1.0013704853469312,1.014348511167683,1.0313036594832516,1.0094536527815254,1.000473592390678,1.0000804422247567,1.0000657421575836,1.0000430929217274,1.0001200831446366
17750,1.0008446810129477,1.0011254567663894,1.0014018356204535,1.0156795099732039,1.0326419155602051,1.0092865531404431,1.0004614347431449,1.0000813388866832,1.0000733294373962,1.0000394282231961,1.0001245488776993
18000,1.0008165247819707,1.001001926181964,1.0012236361400784,1.0167004668451447,1.032976231238247,1.0091576524837114,1.0004703997344786,1.0000723771778306,1.0000682555960059,1.0000332280804187,1.0001166529150751
18250,1.000779001055728,1.0008347061615597,1.0009961311257216,1.0161683489281754,1.030249072073072,1.0086727871695564,1.000418149976086,1.0000684630794325,1.0000599924027933,1.0000354084369905,1.000110401457749
18500,1.0007495030954436,1.0007959914171944,1.000948728554646,1.0150165436744587,1.0274254877902906,1.0081769838575512,1.0004013774327514,1.0000705604048914,1.000056896918864,1.000033279493173,1.0001070772118015
18750,1.0007396144282026,1.0007425903910958,1.00095252387019,1.014772713117162,1.0254109726781815,1.0079943086496623,1.0004126987039565,1.0000678446025415,1.000056344591389,1.000032932005742,1.0001116185520902
19000,1.0007231653539586,1.0010274268605175,1.0012363113193175,1.0146792643377156,1.0242721967927602,1.0074619655872976,1.0004190688807177,1.0000588039968141,1.0000567656404933,1.0000381969061127,1.000115225020864
19250,1.0006550517793809,1.0010095629592188,1.0012005895947267,1.0139045195947667,1.022797714592982,1.00714498938188,1.000411644870849,1.0000579339799784,1.0000500129071694,1.000034597162642,1.0001033773608272
19500,1.0005715261650725,1.0009542112575602,1.0010856387745057,1.0132296672424435,1.0215266143710937,1.0068471052546157,1.0003807848959847,1.0000459778015,1.000036954612469,1.0000256037235726,1.0000823346810686
19750,1.0005290167443701,1.0009572239663505,1.0010361388918985,1.0127614501715891,1.0201104860829429,1.0069468886165196,1.0003845510275433,1.0000372062204381,1.0000320181582154,1.0000241314339529,1.0000681126276372
20000,1.0005265161094976,1.0011389535836448,1.0011785221152085,1.0116366469843165,1.0194197534653187,1.007678778421484,1.0004043671321436,1.0000371208068917,1.000031725100568,1.0000221850097635,1.0000639955174448
20250,1.0005104005102492,1.001168828622847,1.0011333196558934,1.0100699935855706,1.0196872834131618,1.0091310081743188,1.0004314694417866,1.0000340289352487,1.0000269901717056,1.0000179410641707,1.0000616879889384
20500,1.0005578859920647,1.0012339141872695,1.0011458429714413,1.0088508943348355,1.0197626641035538,1.0095210802025123,1.0004500248243882,1.0000415524160513,1.000031779097504,1.0000202812496024,1.0000676604296785
20750,1.0005463917055628,1.001186741214122,1.001103466938864,1.008904864626727,1.0198036619798898,1.0092058116984182,1.0004657741741583,1.0000417343528822,1.0000297945394552,1.0000227620340292,1.0000590234157025
21000,1.0005592681405875,1.0010058023089556,1.0009047271897789,1.0088439577456212,1.0194062285094523,1.0088797435588737,1.000484869219139,1.0000382754981738,1.0000284386515605,1.0000238340106922,1.0000465570127233
21250,1.0005215728324524,1.0009867276653754,1.0008989861477926,1.0083214197972474,1.0189155056792727,1.0086492984220587,1.0004698851820217,1.0000392237437903,1.0000280501508227,1.0000258648583127,1.000044008540878
21500,1.000504256528092,1.0009096465285923,1.0008391598412378,1.0077172855398355,1.0191499766306387,1.0085312512515943,1.0004453885341291,1.0000384773062103,1.0000283409493853,1.000029267302289,1.0000403151596902
21750,1.0004856747491542,1.0007504656956439,1.0006971700024438,1.0072047702886568,1.0195943632950357,1.0082129190023281,1.0004321158791125,1.0000388256571582,1.0000268077619543,1.0000249888459194,1.0000390399006516
22000,1.0004812706093735,1.0007169655587724,1.0007075749104357,1.0068139160048621,1.019556347246576,1.0078021833232744,1.0004841203665704,1.0000389130268723,1.0000304088593446,1.0000236307727954,1.0000389151362028
22250,1.0004936674814533,1.000776744879419,1.0008165613147841,1.0068529494825902,1.018643358966476,1.0075583129128776,1.0004551093640448,1.00004054776182,1.0000295056998656,1.0000244645004839,1.0000332053130947
22500,1.0004635080669262,1.0007302137874086,1.0007552765516978,1.0069705527781225,1.0178829364309387,1.007535396986501,1.0004994159757346,1.0000388415905959,1.0000317222329664,1.0000248810493644,1.0000338174379186
22750,1.0004654871497796,1.0006555945284914,1.000667973462101,1.0072520520592034,1.0179011521197165,1.0074877242135492,1.0004647923852568,1.0000408933121836,1.0000318231945549,1.0000290591519945,1.0000391616396658
23000,1.0004247363743206,1.0007573039578104,1.000763099242826,1.007749484392162,1.0173923309553847,1.0072962052781373,1.0004721426622747,1.0000381244905299,1.000030425563493,1.0000293459347809,1.0000306008182351
23250,1.000427218071306,1.000881281929833,1.0008780433931381,1.0082224568643592,1.0178471392270925,1.0073840229115323,1.0004565725528416,1.0000442954751896,1.0000310146637315,1.0000387506178692,1.00002448021153
23500,1.0004365560941966,1.0009979380854719,1.0009709497727812,1.0082327403860594,1.01789761450744,1.007276632601247,1.0004132023815318,1.0000437485554399,1.000032430202913,1.0000381772548046,1.00002602433178
23750,1.0004745728879547,1.001014738681615,1.0010081684484151,1.0083928555162525,1.0178694731493223,1.0072067984128736,1.0004050467914791,1.000050271438178,1.0000400648397954,1.0000418443767238,1.000023409544708
24000,1.0004603853903646,1.0011462582275947,1.0011533079582744,1.0088252063765006,1.0177890295692316,1.0072178799480205,1.0003736610252998,1.0000433855474944,1.0000376952106875,1.0000403277398597,1.0000154733313198
