iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
11500,1.0001410656247394,1.0041385578887698,1.00428220199204,1.0102974291321163,1.0111547224031021,1.005427010088177,1.0011326647495367,1.000141331174017,1.0000712958778073,1.0001124359577798,1.000031068274035
11750,1.0001379659869136,1.0041312006701095,1.0042675238855732,1.0108768912110677,1.0108302305433163,1.0052198651267485,1.0011102127974516,1.0001189163579003,1.000047752481609,1.0001080607392723,1.0000308595132383
12000,1.0001311141134002,1.0042160204775539,1.0042670176665665,1.0123244749897287,1.0104612080455306,1.0052389675209625,1.0010859639636158,1.0001150528635865,1.0000493284875664,1.0001032062742994,1.0000321534275383
12250,1.0001957156289214,1.0038405063669131,1.0039144817316545,1.0125593342359445,1.0092009113494147,1.00505442251219,1.0011515164357232,1.0001101931944645,1.0000394924260805,1.000104513183351,1.00004473746437
12500,1.000212142391749,1.0037297390159972,1.0037789185187163,1.012562060464715,1.0078959166970098,1.0034018602688293,1.0012225738300946,1.0001178089047367,1.0000379130485095,1.0001092365266158,1.0000380405704539
12750,1.0001891807382592,1.0037725094692258,1.0038194821853,1.0128633544632308,1.0076433125641422,1.0024244105204034,1.0011148131239547,1.0001254471428804,1.000041441283885,1.000101783771533,1.0000524344922725
13000,1.000219791897786,1.0036724055573754,1.0037571100970177,1.0126637100507987,1.0075005952579603,1.002542011470625,1.0011858305148533,1.0001431375233625,1.0000516002185469,1.0000968637226706,1.0000483663071635
13250,1.0002103809054528,1.00394140329397,1.0040185285319982,1.0120382734569475,1.0081649792867022,1.0025472702425444,1.001103094109734,1.0001411551485069,1.0000539862738456,1.0000934835622852,1.0000341882745833
13500,1.0001886004210256,1.0039407614252542,1.004027081893918,1.0110591545184273,1.0082818927526973,1.0023534195090658,1.0010494480274643,1.0001236373861473,1.0000447919554967,1.000101216268878,1.0000331931924122
13750,1.0001892451204584,1.0027500098201592,1.002820098182263,1.0111282681344018,1.0084327762650176,1.0027847314420748,1.0009269076483123,1.0001197421462205,1.0000509989050508,1.0000818017364146,1.000029189819408
14000,1.0002105434709734,1.0031679217332663,1.0032791529679959,1.0112365714161868,1.008614404690789,1.003042710043067,1.0008612115849342,1.000104197886959,1.0000532839449698,1.000077864668315,1.0000318063902587
14250,1.0001981938704154,1.0031803680521978,1.0032804463291416,1.0113747933002666,1.0095910362671847,1.0031401824820452,1.0009417071764906,1.0000880982447167,1.0000507356516073,1.0000750397917906,1.0000236215673877
14500,1.000236100132331,1.0032739219888682,1.0033475245482266,1.0115178469680994,1.0111271239287416,1.0028697025388926,1.0009256724630642,1.0000942667603947,1.0000546635406369,1.0000709884597925,1.0000208062167575
14750,1.0002184869901107,1.003063694639943,1.0031198258982308,1.011407744380144,1.012226187559938,1.0029193480107663,1.0009893861101948,1.000104288960743,1.00005078485354,1.000080898292288,1.0000299373840746
15000,1.0001603399639492,1.0033278656832507,1.0033862452924003,1.0110632381058113,1.013023522095991,1.0031638523417952,1.0010473782103586,1.0000994339145934,1.0000656925414124,1.0000639809804677,1.0000249666383165
15250,1.0001404748213463,1.0030009784671874,1.0030094981259987,1.011369093302873,1.0136237490684226,1.0032718438729142,1.000945010384201,1.0001010429282762,1.0000655106761156,1.0000542747505705,1.000028008953258
15500,1.000116590538686,1.0028184891508838,1.0027971325005138,1.012073367552919,1.0131204672840541,1.003232545009081,1.0010218768564334,1.0000977274824892,1.000053094909622,1.0000637655460338,1.000028528681139
15750,1.0001088298112801,1.0028123228449581,1.002802122421035,1.0114773627524694,1.014032789293155,1.0035284402000044,1.000928201650992,1.0000901300184026,1.0000387501309658,1.0000495138168024,1.000026147903821
16000,1.0001755790349653,1.003100619467478,1.0031203777745465,1.0109686723667353,1.0144077073174471,1.003838782153109,1.0009287735452517,1.0000727780408045,1.0000498560558075,1.0000536667596582,1.0000179619866225
16250,1.000150029267934,1.0029799581463685,1.0030149658316767,1.0121302882332717,1.014693201625818,1.0035213259180715,1.0009718688875513,1.0000627824942112,1.0000465174972981,1.0000521833717286,1.000015158025701
16500,1.0001934744550285,1.0028117747537417,1.0028644380344878,1.0129565481676852,1.0145221986981958,1.0034799451569545,1.0009865085647844,1.0000541720836904,1.0000448877196493,1.0000551063378662,1.000016484585802
16750,1.0001971361372037,1.0028130268700524,1.0028702985564246,1.0137180213166517,1.0141041906912536,1.003273042964292,1.000965340436472,1.0000543482376816,1.0000481482437618,1.0000570252971346,1.000024752498467
17000,1.0002361497016206,1.0021524115169038,1.002221210492418,1.0137786714452381,1.0142455292791845,1.0032290978012792,1.0010029205251025,1.000065225846472,1.0000435998957413,1.0000508190129236,1.0000159749270685
17250,1.000258765454108,1.001986720151094,1.002063158321995,1.0147087744985785,1.015079130775541,1.0034487201542401,1.0009771318453586,1.0000743857903294,1.0000523054292527,1.0000502065805088,1.0000158260609313
17500,1.0002418045633379,1.0021835053291162,1.0022529954969792,1.014999765064067,1.0150748665315021,1.0036265162859184,1.0009158711359547,1.0000673480747213,1.000055010545287,1.0000445927330397,1.0000099932861608
17750,1.0002407151505655,1.002107211400639,1.0021462450191816,1.01528198818936,1.0160089200116242,1.0034933755179423,1.000866783842516,1.0000631508457865,1.000051674153622,1.000043071069786,1.0000103133526523
18000,1.0002640161629157,1.0020818465804948,1.0021225842520984,1.015698260675497,1.0166166568478174,1.003757493476173,1.0008822043162604,1.0000618415130098,1.000047687694347,1.0000334184540918,1.0000131764767015
