iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
16250,1.0011441035838564,1.0017343796373868,1.00184411977898,1.0252890637442473,1.0518713946243428,1.0106431872689567,1.0009446468890517,1.0005168743973252,1.0005228333569673,1.0004757152322021,1.0002274781799947,1.0002518329288146,1.000262045082376,1.000366322810154
16500,1.0010691249695596,1.0017609319404026,1.0018941197943103,1.0272523851780833,1.0523657693741475,1.0119773829946603,1.0009208000966314,1.000454731022035,1.000499560524864,1.0004475102580654,1.0002204004278283,1.0002158601054427,1.0002608328948774,1.0003391030036755
16750,1.0011697176476968,1.0018021727540611,1.0019332786735577,1.0293073624003732,1.0519608777555192,1.0124737827596317,1.0008201599721558,1.0004514745851423,1.0005233210659379,1.0004268603149813,1.0002035926269062,1.0002060898809064,1.0002785058112933,1.0003291279082498
17000,1.001231495030369,1.0018883935523268,1.0020879146632138,1.0292582256942944,1.049529559131433,1.0139328540740813,1.0007675777363974,1.0004220117552127,1.0005286903015367,1.0004088346215108,1.0002118117770014,1.000191080132705,1.000287888991402,1.0003465549136161
17250,1.0013942685412902,1.002024166206164,1.002246553922516,1.027977270428914,1.0464209279151921,1.01418381848494,1.0007711286082985,1.00038643557515,1.0005039936089273,1.0003936123167685,1.0002478863325155,1.0002088075985414,1.0003159741578638,1.0003820821464655
17500,1.0014368582801771,1.0021390933292063,1.00235577517295,1.0265238640027883,1.043474434360432,1.0137595933195993,1.000832140382353,1.0003527001625385,1.000491731623679,1.0003780011763719,1.0002727253356818,1.0001706334657032,1.000344091968579,1.0003932916249245
17750,1.001273175976584,1.0021124137851996,1.002334050272259,1.0253055745977873,1.042585283639274,1.013686621477859,1.0009304769917986,1.0003869723683807,1.0005215905506288,1.0003822772300766,1.000275774003837,1.000172642968207,1.000308434743062,1.0003737753260493
18000,1.0012623422050668,1.002135490165385,1.0023506078418258,1.0246694454279501,1.0426628231136803,1.0139219174817207,1.0008055824789586,1.0004094754524633,1.0005577645241341,1.0003710414654965,1.0002869296671033,1.000144595100226,1.0003174351237394,1.0003845461156453
18250,1.001382275783242,1.002351581675786,1.0025791090410117,1.024397649122222,1.0435541949429745,1.0131724831875946,1.000833222729355,1.0004041581141703,1.000600970498908,1.000361258265462,1.0003379937978158,1.000146946697863,1.0003555759107374,1.0004344309429698
18500,1.0014469942791968,1.0022870404316058,1.0025254177539398,1.0244829651970888,1.043303402228195,1.0124642649966944,1.0007400672420572,1.0004530184887341,1.0005948202949633,1.000367598222476,1.0003348809284096,1.0001629457867818,1.000363060626434,1.000433167725666
18750,1.0013544704476787,1.0022871853949067,1.002511427344853,1.0242133143396996,1.0429988712067098,1.0120675760939741,1.000655412802844,1.0004269680865057,1.0005851829404122,1.0003513553301153,1.0003625703375425,1.0001364260715893,1.0003808108125027,1.0004352437372446
19000,1.0014997296616701,1.0025294365608,1.0027536690645695,1.0234427803768436,1.0432396034959177,1.0118694865649231,1.0007274713111651,1.0004468896110985,1.0006003610517344,1.0003828712743374,1.0003461335901591,1.0001271119051791,1.0003633046685483,1.000398629512921
19250,1.001469330449172,1.0026560333411572,1.0028247038469138,1.0233821206483977,1.0440586076997191,1.0116364075177582,1.0006120083803256,1.0004634603914533,1.0005547109913953,1.0003758318558438,1.0003465640347113,1.0001109868109428,1.0003465969498095,1.0003999273298498
19500,1.0014077325175739,1.0025007118933293,1.0026360059341701,1.0235456509468879,1.0447940784020093,1.0118801815356857,1.0005932589083382,1.000449759171332,1.000559890660568,1.0003726267247812,1.0003317536783973,1.0001336279477302,1.0003274814319432,1.0003817699995432
19750,1.0012291790583154,1.0024071766826046,1.0025224733681408,1.0227050988734452,1.0469522761746144,1.0114744665406699,1.0005805821451164,1.000431273776731,1.0005278627369887,1.0003508394261795,1.0003199404395697,1.0001269626084346,1.0003341407107542,1.0003616456883415
20000,1.0011569952505426,1.0024024650946894,1.0025171619135678,1.0225653836491069,1.0488325575124204,1.0113381625793458,1.0006584888664711,1.0004578754533364,1.000537260812851,1.000357474978475,1.0003072505569008,1.0001484986043936,1.0003221932464834,1.0003554014076246
20250,1.0011448491725987,1.0025287439806934,1.0026543748642243,1.0238521415697392,1.0512101227547852,1.0110385000772053,1.0006524362187577,1.0004590777817444,1.0004858896826074,1.0003428778424714,1.0003034777425208,1.0001359070581348,1.0003243833800983,1.0003451703979833
20500,1.0010887980566223,1.0024866935534433,1.0025948518482806,1.0251779113168538,1.0530910961939512,1.0110478290587241,1.0006992063193543,1.0004265617958477,1.000460505524106,1.000321954730903,1.0002852799427748,1.000117813615635,1.0002906990305132,1.0003094247532636
20750,1.000983244668184,1.0024555702429405,1.0026015683416996,1.0250277971755686,1.053483425660454,1.0114560768641419,1.0006689627652001,1.0003880351308292,1.0004488372793239,1.0002966480166435,1.0002851326108841,1.000114656633759,1.000268889267212,1.0002927361845926
21000,1.0010010878148718,1.0025568184184843,1.0027263276268883,1.025242295151465,1.0536009584016113,1.012186322528465,1.000618910004823,1.0003896623091926,1.0004555214733502,1.0002961322525246,1.000284038826002,1.0001226145681588,1.000284166052635,1.0002889326590105
21250,1.0009868903865036,1.0023938525765552,1.002582299614857,1.0247619269972539,1.0523376002625309,1.0117360731655947,1.0005574093409673,1.0004042512731672,1.0004477093840327,1.0003018159091779,1.0002735103637763,1.0001314668789782,1.000260941319859,1.000308863389629
21500,1.001049215146899,1.0024736412308408,1.002670870726176,1.0251300961071068,1.0520535659923693,1.0116251738638824,1.0005634701363617,1.0004290671114449,1.0004081211308518,1.0003147384552418,1.0002605300406164,1.0001348048092513,1.000268928145477,1.0002917717466686
21750,1.001168972440709,1.0027102610817358,1.0028990381186094,1.025122952868221,1.0508170627984879,1.011576787485502,1.0006285058004682,1.0004523923271582,1.0004080853188524,1.0003448611155041,1.0002640298113157,1.0001589301435325,1.0002526624180708,1.000293031099747
22000,1.0012235923164148,1.0028011564990367,1.003007086633997,1.0251674172092786,1.0484766344334149,1.0111029652307633,1.00058778067352,1.0004565712142401,1.0004308992411588,1.0003250019193652,1.0002734992286153,1.000144832209259,1.0002451226255724,1.000305408838504
22250,1.0010604762777309,1.0027368225282678,1.0029294586196789,1.025257658155756,1.0467912899103227,1.011883075784638,1.0005221881837367,1.0004487556254078,1.0004346610377424,1.000306327894823,1.0002704390414605,1.000132186780876,1.000246441899047,1.000320810834072
22500,1.0010616060633146,1.0027217656429177,1.0028878964397887,1.0251413205361,1.0450601393863184,1.0121035252561692,1.0005614818238522,1.0004412355731414,1.0004325484772378,1.000309082119451,1.0002347849554238,1.0001326411906604,1.0002091557212445,1.0002771071677592
22750,1.0011113167223549,1.0027578327651525,1.0029368049602494,1.0244396788727297,1.042820954191793,1.0125604896824558,1.0005723040226249,1.0004248014447155,1.0004276235642846,1.0003115598098344,1.0002215439191038,1.0001545112914567,1.0002024546250856,1.0002489272643356
23000,1.0010507323574886,1.0029538786087733,1.0031650168916924,1.0230869986855151,1.0400146781118953,1.011876254758959,1.0005472735979204,1.0004098850157703,1.0004070831016916,1.000297604314067,1.000218851351667,1.000148034642224,1.0001921685301607,1.000246329211321
23250,1.0008550498821775,1.002674221539718,1.0028889226268476,1.0213642042250877,1.0377889797920343,1.0113358004584119,1.0005769537317455,1.0003528628098686,1.0003665402762139,1.0002515933941802,1.0002090021157883,1.000145487359226,1.000187397524188,1.0002453031601675
23500,1.0008982120596253,1.0028009889585157,1.0030221199902327,1.0200702218258277,1.0366246372641876,1.0115639690021232,1.000718946805035,1.0003430488104388,1.000352551831243,1.000258697276534,1.0002209965535105,1.000160815058027,1.000190928330754,1.0002639703807255
23750,1.0010464419148468,1.0030430376829167,1.003240827780162,1.0191352622807854,1.0365048769452374,1.0110431160093738,1.0007498747868806,1.0003454712659317,1.0003696273842,1.0002719025534195,1.0002160342759778,1.0001416198381439,1.000185494168357,1.0002551858743158
24000,1.001139686227082,1.0031752877582312,1.0033402479478248,1.0188663759889016,1.0368529862104816,1.0105677119955505,1.0007534788508614,1.0003468432399898,1.0004043156081721,1.000316088298735,1.0002265613320316,1.0001599654023432,1.0001985800428375,1.000258734984682
24250,1.001026847688123,1.003113708897073,1.0032780745074095,1.0187684165215276,1.0370411706937361,1.0102409714530618,1.0007532372831938,1.0003230071256919,1.0004387002180535,1.0003174047334986,1.0002042522513976,1.0001560990109881,1.0001918855358611,1.0002424580163125
24500,1.0011028275945852,1.0030491893293916,1.0031783296619667,1.0189537205520207,1.0375741469906765,1.0100950573119947,1.0006894794194634,1.0003182427204316,1.0004680399253054,1.0003240983811434,1.0002133029345959,1.0001541264130245,1.0002082909835501,1.0002509484797595
24750,1.0011842369220498,1.0033750895003544,1.0035320622675976,1.0186628808594327,1.0384851892213727,1.0099517711002732,1.00066645126732,1.0003156682897858,1.0004804673361969,1.000324098412224,1.000231698416738,1.0001580844661686,1.0002028983360347,1.0002599345445637
